#unkc
#track 1
#inst 5
#unk6 10
#unk6 7
#pan 50
#volume 6e
..|C#5.v3|E-5.v3
..|......|......
..|......|......
..|......|......
..|===...|===...
..|......|......
..|......|......
..|......|......
..|E-5.v3|C#5.v3
..|......|......
..|......|......
..|......|......
..|===...|===...
..|......|......
..|......|......
..|......|......
..|E-5.v3|C#5.v3
..|......|......
..|......|......
..|......|......
..|===...|===...
..|......|......
..|......|......
..|......|......
..|D-6.v3|A-5.v3
..|......|......
..|......|......
..|......|......
..|===...|===...
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|D-6.v3|A-5.v3
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|E-6.v3|C#6.v3
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|===...|===...
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|D-6.v3|A#5.v3
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|===...|===...
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|E-6.v3|C-6.v3
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|D-6.v3|A-5.v3
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|......|......
..|===...|===...
#halt
#halt
